   (100) Hekate                          1868 07 11  Ann Arbor                Watson, J. C.
   (101) Helena                          1868 08 15  Ann Arbor                Watson, J. C.
   (102) Miriam                          1868 08 22  Clinton                  Peters, C. H. F.
   (103) Hera                            1868 09 07  Ann Arbor                Watson, J. C.
   (104) Klymene                         1868 09 13  Ann Arbor                Watson, J. C.
   (105) Artemis                         1868 09 16  Ann Arbor                Watson, J. C.
   (106) Dione                           1868 10 10  Ann Arbor                Watson, J. C.
   (107) Camilla                         1868 11 17  Madras                   Pogson, N. R.
   (108) Hecuba                          1869 04 02  Düsseldorf               Luther, R.
   (109) Felicitas                       1869 10 09  Clinton                  Peters, C. H. F.
   (110) Lydia                           1870 04 19  Marseilles               Borrelly, A.
   (111) Ate                             1870 08 14  Clinton                  Peters, C. H. F.
   (112) Iphigenia                       1870 09 19  Clinton                  Peters, C. H. F.
   (113) Amalthea                        1871 03 12  Düsseldorf               Luther, R.
   (114) Kassandra                       1871 07 23  Clinton                  Peters, C. H. F.
   (115) Thyra                           1871 08 06  Ann Arbor                Watson, J. C.
   (116) Sirona                          1871 09 08  Clinton                  Peters, C. H. F.
   (117) Lomia                           1871 09 12  Marseilles               Borrelly, A.
   (118) Peitho                          1872 03 15  Düsseldorf               Luther, R.
   (119) Althaea                         1872 04 03  Ann Arbor                Watson, J. C.
   (120) Lachesis                        1872 04 10  Marseilles               Borrelly, A.
   (121) Hermione                        1872 05 12  Ann Arbor                Watson, J. C.
   (122) Gerda                           1872 07 31  Clinton                  Peters, C. H. F.
   (123) Brunhild                        1872 07 31  Clinton                  Peters, C. H. F.
   (124) Alkeste                         1872 08 23  Clinton                  Peters, C. H. F.
   (125) Liberatrix                      1872 09 11  Paris                    Henry, P. M.
   (126) Velleda                         1872 11 05  Paris                    Henry, P. P.
   (127) Johanna                         1872 11 05  Paris                    Henry, P. M.
   (128) Nemesis                         1872 11 25  Ann Arbor                Watson, J. C.
   (129) Antigone                        1873 02 05  Clinton                  Peters, C. H. F.
   (130) Elektra                         1873 02 17  Clinton                  Peters, C. H. F.
